Code,N°,"English Name","Nom français","Property Value Alias",Date
Arab,160,Arabic,arabe,Arabic,38108
Armn,230,Armenian,arménien,Armenian,38108
Bali,360,Balinese,balinais,,38136
Batk,365,Batak,batak,,38108
Beng,325,Bengali,bengalî,Bengali,38108
Blis,550,Blissymbols,"symboles Bliss",,38108
Bopo,285,Bopomofo,bopomofo,Bopomofo,38108
Brah,300,Brahmi,brâhmî,,38108
Brai,570,Braille,braille,Braille,38108
Bugi,367,Buginese,bouguis,,38108
Buhd,372,Buhid,bouhide,Buhid,38108
Cans,440,"Unified Canadian Aboriginal Syllabics","syllabaire autochtone canadien unifié",Canadian_Aboriginal,38136
Cham,358,Cham,"cham (čam, tcham)",,38108
Cher,445,Cherokee,tchérokî,Cherokee,38108
Cirt,291,Cirth,cirth,,38108
Copt,204,Coptic,copte,,38136
Cprt,403,Cypriot,"syllabaire chypriote",Cypriot,38108
Cyrl,220,Cyrillic,cyrillique,Cyrillic,38108
Cyrs,221,"Cyrillic (Old Church Slavonic variant)","cyrillique (variante slavonne)",,38108
Deva,315,"Devanagari (Nagari)",dévanâgarî,Devanagari,38108
Dsrt,250,"Deseret (Mormon)","déseret (mormon)",Deseret,38108
Egyd,70,"Egyptian demotic","démotique égyptien",,38108
Egyh,60,"Egyptian hieratic","hiératique égyptien",,38108
Egyp,50,"Egyptian hieroglyphs","hiéroglyphes égyptiens",,38108
Ethi,430,"Ethiopic (Ge‘ez)","éthiopique (éthiopien, ge‘ez, guèze)",Ethiopic,38136
Geor,240,"Georgian (Mkhedruli)","géorgien (mkhédrouli)",Georgian,38136
Glag,225,Glagolitic,glagolitique,,38108
Goth,206,Gothic,gotique,Gothic,38108
Grek,200,Greek,grec,Greek,38108
Gujr,320,Gujarati,"goudjarâtî (gujrâtî)",Gujarati,38108
Guru,310,Gurmukhi,gourmoukhî,Gurmukhi,38108
Hang,286,"Hangul (Hangŭl, Hangeul)","hangûl (hangŭl, hangeul)",Hangul,38136
Hani,500,"Han (Hanzi, Kanji, Hanja)","idéogrammes han",Han,38108
Hano,371,"Hanunoo (Hanunóo)",hanounóo,Hanunoo,38136
Hans,501,"Han (Simplified variant)","idéogrammes han (variante simplifiée)",,38136
