Abkhazian,abkhaze,abk,ab
Achinese,aceh,ace,
Acoli,acoli,ach,
Adangme,adangme,ada,
"Adygei; Adyghe",adyghé,ady,
"Adyghe; Adygei",adygh,ady,
Afar,afar,aar,aa
Afrihili,afrihili,afh,
Afrikaans,afrikaans,afr,af
"Afro-Asiatic (Other)","afro-asiatiques, autres langues",afa,
Akan,akan,aka,ak
Akkadian,akkadien,akk,
Albanian,albanais,alb/sqi,sq
Aleut,aléoute,ale,
"Algonquian languages","algonquines, langues",alg,
"Altaic (Other)","altaïques, autres langues",tut,
Amharic,amharique,amh,am
"Apache languages",apache,apa,
Arabic,arabe,ara,ar
Aragonese,aragonais,arg,an
Aramaic,araméen,arc,
Arapaho,arapaho,arp,
Araucanian,araucan,arn,
Arawak,arawak,arw,
Armenian,arménien,arm/hye,hy
"Artificial (Other)","artificielles, autres langues",art,
Assamese,assamais,asm,as
"Asturian; Bable","asturien; bable",ast,
"Athapascan languages","athapascanes, langues",ath,
"Australian languages","australiennes, langues",aus,
"Austronesian (Other)","malayo-polynésiennes, autres langues",map,
Avaric,avar,ava,av
Avestan,avestique,ave,ae
Awadhi,awadhi,awa,
Aymara,aymara,aym,ay
Azerbaijani,azéri,aze,az
"Bable; Asturian","bable; asturien",ast,
Balinese,balinais,ban,
"Baltic (Other)","baltiques, autres langues",bat,
Baluchi,baloutchi,bal,
Bambara,bambara,bam,bm
"Bamileke languages","bamilékés, langues",bai,
Banda,banda,bad,
"Bantu (Other)","bantoues, autres langues",bnt,
Basa,basa,bas,
Bashkir,bachkir,bak,ba
Basque,basque,baq/eus,eu
"Batak (Indonesia)","batak (Indonésie)",btk,
Beja,bedja,bej,
Belarusian,biélorusse,bel,be
Bemba,bemba,bem,
Bengali,bengali,ben,bn
"Berber (Other)","berbères, autres langues",ber,
Bhojpuri,bhojpuri,bho,
Bihari,bihari,bih,bh
Bikol,bikol,bik,
"Bilin; Blin","bilen; blin",byn,
Bini,bini,bin,
Bislama,bichlamar,bis,bi
"Blin; Bilin","blin; bilen",byn,
"Bokmål, Norwegian; Norwegian Bokmål","bokmål, norvégien; bokmål norvégien",nob,nb
Bosnian,bosniaque,bos,bs
Braj,braj,bra,
Breton,breton,bre,br
Buginese,bugi,bug,
Bulgarian,bulgare,bul,bg
Buriat,bouriate,bua,
Burmese,birman,bur/mya,my
Caddo,caddo,cad,
Carib,caribe,car,
"Castilian; Spanish","castillan; espagnol",spa,es
"Catalan; Valencian","catalan; valencien",cat,ca
"Caucasian (Other)","caucasiennes, autres langues",cau,
Cebuano,cebuano,ceb,
"Celtic (Other)","celtiques, autres langues",cel,
"Central American Indian (Other)","indiennes d'Amérique centrale, autres langues",cai,
Chagatai,djaghataï,chg,
"Chamic languages","chames, langues",cmc,
Chamorro,chamorro,cha,ch
Chechen,tchétchène,che,ce
Cherokee,cherokee,chr,
"Chewa; Chichewa; Nyanja","chewa, chichewa, nyanja",nya,ny
Cheyenne,cheyenne,chy,
Chibcha,chibcha,chb,
"Chichewa; Chewa; Nyanja","chichewa; chewa; nyanja",nya,ny
Chinese,chinois,chi/zho,zh
"Chinook jargon","chinook, jargon",chn,
Chipewyan,chipewyan,chp,
Choctaw,choctaw,cho,
"Chuang; Zhuang","chuang; zhuang",zha,za
"Church Slavic; Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","slavon d'église; vieux slave; slavon liturgique; vieux bulgare",chu,cu
"Church Slavonic; Church Slavic; Old Slavonic; Old Bulgarian; Old Church Slavonic","slavon liturgique; slavon d'église; vieux slave; vieux bulgare",chu,cu
Chuukese,chuuk,chk,
Chuvash,tchouvache,chv,cv
"Classical Nepal Bhasa; Classical Newari; Old Newari","newari classique",nwc,
"Classical Newari; Old Newari; Classical Nepal Bhasa","newari classique",nwc,
Coptic,copte,cop,
Cornish,cornique,cor,kw
Corsican,corse,cos,co
Cree,cree,cre,cr
Creek,muskogee,mus,
"Creoles and pidgins (Other)","créoles et pidgins divers",crp,
"Creoles and pidgins, English-based (Other)","créoles et pidgins anglais, autres",cpe,
"Creoles and pidgins, French-based (Other)","créoles et pidgins français, autres",cpf,
"Creoles and pidgins, Portuguese-based (Other)","créoles et pidgins portugais, autres",cpp,
"Crimean Tatar; Crimean Turkish","tatar de Crimé",crh,
"Crimean Turkish; Crimean Tatar","tatar de Crimé",crh,
Croatian,croate,scr/hrv,hr
"Cushitic (Other)","couchitiques, autres langues",cus,
Czech,tchèque,cze/ces,cs
Dakota,dakota,dak,
Danish,danois,dan,da
Dargwa,dargwa,dar,
Dayak,dayak,day,
Delaware,delaware,del,
Dinka,dinka,din,
Divehi,maldivien,div,dv
Dogri,dogri,doi,
Dogrib,dogrib,dgr,
"Dravidian (Other)","dravidiennes, autres langues",dra,
Duala,douala,dua,
"Dutch; Flemish","néerlandais; flamand",dut/nld,nl
"Dutch, Middle (ca. 1050-1350)","néerlandais moyen (ca. 1050-1350)",dum,
Dyula,dioula,dyu,
Dzongkha,dzongkha,dzo,dz
Efik,efik,efi,
"Egyptian (Ancient)",égyptien,egy,
Ekajuk,ekajuk,eka,
Elamite,élamite,elx,
English,anglais,eng,en
"English, Middle (1100-1500)","anglais moyen (1100-1500)",enm,
"English, Old (ca.450-1100)","anglo-saxon (ca.450-1100)",ang,
Erzya,erza,myv,
Esperanto,espéranto,epo,eo
Estonian,estonien,est,et
Ewe,éwé,ewe,ee
Ewondo,éwondo,ewo,
Fang,fang,fan,
Fanti,fanti,fat,
Faroese,féroïen,fao,fo
Fijian,fidjien,fij,fj
Finnish,finnois,fin,fi
"Finno-Ugrian (Other)","finno-ougriennes, autres langues",fiu,
"Flemish; Dutch","flamand; néerlandais",dut/nld,nl
Fon,fon,fon,
French,français,fre/fra,fr
"French, Middle (ca.1400-1600)","français moyen (1400-1600)",frm,
"French, Old (842-ca.1400)","français ancien (842-ca.1400)",fro,
Frisian,frison,fry,fy
Friulian,frioulan,fur,
Fulah,peul,ful,ff
"Gaelic; Scottish Gaelic","gaélique; gaélique écossais",gla,gd
Gallegan,galicien,glg,gl
Ganda,ganda,lug,lg
Gayo,gayo,gay,
Gbaya,gbaya,gba,
Geez,guèze,gez,
Georgian,géorgien,geo/kat,ka
German,allemand,ger/deu,de
"German, Low; Saxon, Low; Low German; Low Saxon","allemand, bas; saxon, bas; bas allemand; bas saxon",nds,
"German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)",gmh,
"German, Old High (ca.750-1050)","allemand, vieux haut (ca. 750-1050)",goh,
"Germanic (Other)","germaniques, autres langues",gem,
"Gikuyu; Kikuyu",kikuyu,kik,ki
Gilbertese,kiribati,gil,
Gondi,gond,gon,
Gorontalo,gorontalo,gor,
Gothic,gothique,got,
Grebo,grebo,grb,
"Greek, Ancient (to 1453)","grec ancien (jusqu'à 1453)",grc,
"Greek, Modern (1453-)","grec moderne (après 1453)",gre/ell,el
"Greenlandic; Kalaallisut",groenlandais,kal,kl
Guarani,guarani,grn,gn
Gujarati,goudjrati,guj,gu
Gwich´in,gwich´in,gwi,
Haida,haida,hai,
"Haitian; Haitian Creole","haïtien; créole haïtien",hat,ht
"Haitian Creole; Haitian","créole haïtien; haïtien",hat,ht
Hausa,haoussa,hau,ha
Hawaiian,hawaïen,haw,
Hebrew,hébreu,heb,he
Herero,herero,her,hz
Hiligaynon,hiligaynon,hil,
Himachali,himachali,him,
Hindi,hindi,hin,hi
"Hiri Motu","hiri motu",hmo,ho
Hittite,hittite,hit,
Hmong,hmong,hmn,
Hungarian,hongrois,hun,hu
Hupa,hupa,hup,
Icelandic,islandais,ice/isl,is
Ido,ido,ido,io
Igbo,igbo,ibo,ig
Ijo,ijo,ijo,
Iloko,ilocano,ilo,
"Inari Sami","sami d'Inari",smn,
"Indic (Other)","indo-aryennes, autres langues",inc,
"Indo-European (Other)","indo-européennes, autres langues",ine,
Indonesian,indonésien,ind,id
Ingush,ingouche,inh,
"Interlingua (International Auxiliary Language Association)","interlingua (langue auxiliaire internationale)",ina,ia
Interlingue,interlingue,ile,ie
Inuktitut,inuktitut,iku,iu
Inupiaq,inupiaq,ipk,ik
"Iranian (Other)","iraniennes, autres langues",ira,
Irish,irlandais,gle,ga
"Irish, Middle (900-1200)","irlandais moyen (900-1200)",mga,
"Irish, Old (to 900)","irlandais ancien (jusqu'à 900)",sga,
"Iroquoian languages","iroquoises, langues (famille)",iro,
Italian,italien,ita,it
Japanese,japonais,jpn,ja
Javanese,javanais,jav,jv
Judeo-Arabic,judéo-arabe,jrb,
Judeo-Persian,judéo-persan,jpr,
Kabyle,kabyle,kab,
Kachin,kachin,kac,
"Kalaallisut; Greenlandic",groenlandais,kal,kl
Kalmyk,kalmouk,xal,
Kamba,kamba,kam,
Kannada,kannada,kan,kn
Kanuri,kanouri,kau,kr
Karachay-Balkar,"karatchaï balkar",krc,
Kara-Kalpak,karakalpak,kaa,
Karen,karen,kar,
Kashmiri,kashmiri,kas,ks
Kashubian,kachoube,csb,
Kawi,kawi,kaw,
Kazakh,kazakh,kaz,kk
Khasi,khasi,kha,
Khmer,khmer,khm,km
"Khoisan (Other)","khoisan, autres langues",khi,
Khotanese,khotanais,kho,
"Kikuyu; Gikuyu",kikuyu,kik,ki
Kimbundu,kimbundu,kmb,
Kinyarwanda,rwanda,kin,rw
Kirghiz,kirghize,kir,ky
"Klingon; tlhlngan-Hol",klingon,tlh,
Komi,komi,kom,kv
Kongo,kongo,kon,kg
Konkani,konkani,kok,
Korean,coréen,kor,ko
Kosraean,kosrae,kos,
Kpelle,kpellé,kpe,
