# Test expects red instead of luminance, contra OES_depth_texture spec.
# https://gitlab.khronos.org/Tracker/vk-gl-cts/-/issues/3815
KHR-GLES2.core.internalformat.texture2d.depth_component_unsigned_int_depth_component16,Fail
KHR-GLES2.core.internalformat.texture2d.depth_component_unsigned_int_depth_component24,Fail
KHR-GLES2.core.internalformat.texture2d.depth_component_unsigned_short_depth_component16,Fail

#  Creating OpenGL ES 3 context
# Fail, context: 0x00000000, error: EGL_BAD_MATCH
# https://gitlab.khronos.org/Tracker/vk-gl-cts/-/issues/3816
x11-dEQP-EGL.functional.create_context.no_config,Fail
wayland-dEQP-EGL.functional.create_context.no_config,Fail

# wide line outside the viewport incorrectly clipped out when ES wants it
# rendered as a quad and clipped appropriately.  I think by expanding
# CLIPPER_XY_SCALING to have a guard band we might get these to work.
dEQP-GLES2.functional.clipping.line.wide_line_clip_viewport_center,Fail
dEQP-GLES2.functional.clipping.line.wide_line_clip_viewport_corner,Fail

dEQP-GLES2.functional.depth_stencil_clear.depth_stencil_masked,Fail

# Sampling grid slightly off in test 2?
dEQP-GLES2.functional.texture.filtering.2d.nearest_mipmap_linear_linear_mirror_rgba8888,Fail
dEQP-GLES2.functional.texture.filtering.2d.nearest_mipmap_linear_linear_repeat_rgba8888,Fail
dEQP-GLES2.functional.texture.filtering.2d.nearest_mipmap_nearest_linear_mirror_rgba8888,Fail
dEQP-GLES2.functional.texture.filtering.2d.nearest_mipmap_nearest_linear_repeat_rgba8888,Fail

# " Warning: High precision not supported in fragment shaders.
#   ERROR: Image verification failed, found 2048 invalid pixels!"
# one of the magnified pixels is (0xff, 0x29,0xd6) instead of (0xff,0x2d,0xd2).
# We do support highp, so we should fix glGetShaderPrecisionFormat reporting.
dEQP-GLES2.functional.texture.mipmap.2d.basic.linear_linear_repeat_non_square,Fail
dEQP-GLES2.functional.texture.mipmap.2d.basic.nearest_linear_clamp_non_square,Fail
dEQP-GLES2.functional.texture.mipmap.2d.basic.nearest_linear_mirror_non_square,Fail
dEQP-GLES2.functional.texture.mipmap.2d.basic.nearest_linear_repeat_non_square,Fail

# One of the pixels on the left edge near the bottom is wrong for both min and
