# broken vertex buffer robustness
#GTF-GL46.gtf21.GL2FixedTests.vertex_order.vertex_order,Fail
#GTF-GL46.gtf31.GL3Tests.draw_instanced.draw_instanced_vertex_attrib_stride,Fail
#GTF-GL46.gtf33.GL3Tests.instanced_arrays.instanced_arrays_stride,Fail
#KHR-GL46.tessellation_shader.tessellation_shader_triangles_tessellation.inner_tessellation_level_rounding
#KHR-GL46.vertex_attrib_64bit.limits_test,Fail
#KHR-GL46.vertex_attrib_64bit.vao,Fail
#KHR-GL46.vertex_attrib_binding.advanced-bindingUpdate,Fail
#KHR-GL46.vertex_attrib_binding.basic-inputI-case2,Fail
#KHR-Single-GL46.enhanced_layouts.varying_array_locations,Fail
#KHR-Single-GL46.enhanced_layouts.varying_locations,Fail
#KHR-Single-GL46.enhanced_layouts.varying_structure_locations,Fail

# uncategorized
GTF-GL46.gtf30.GL3Tests.transform_feedback.transform_feedback_query_objects,Fail
GTF-GL46.gtf33.GL3Tests.vertex_type_2_10_10_10_rev.vertex_type_2_10_10_10_rev_stride_pointer,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback2.transform_feedback2_pause_resume,Fail
GTF-GL46.gtf40.GL3Tests.transform_feedback2.transform_feedback2_states,Fail
KHR-GL46.direct_state_access.queries_functional,Fail
KHR-GL46.direct_state_access.vertex_arrays_attribute_binding,Fail
KHR-GL46.direct_state_access.vertex_arrays_enable_disable_attributes,Fail
KHR-GL46.tessellation_shader.tessellation_control_to_tessellation_evaluation.gl_tessLevel,Fail
KHR-GL46.tessellation_shader.tessellation_shader_point_mode.points_verification,Fail
KHR-GL46.tessellation_shader.tessellation_shader_quads_tessellation.inner_tessellation_level_rounding,Fail
KHR-GL46.tessellation_shader.tessellation_shader_triangles_tessellation.identical_triangles,Fail
KHR-GL46.tessellation_shader.vertex.vertex_spacing,Fail
KHR-GL46.texture_cube_map_array.texture_size_tesselation_con_sh,Fail
KHR-GL46.texture_cube_map_array.texture_size_tesselation_ev_sh,Fail
KHR-Single-GL46.enhanced_layouts.xfb_override_qualifiers_with_api,Fail

# These tests mysteriously fail to allocate descriptor sets with input attachments
KHR-GL46.blend_equation_advanced.blend_all.GL_COLORBURN_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_COLORDODGE_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_DARKEN_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_DIFFERENCE_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_EXCLUSION_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_HARDLIGHT_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_HSL_COLOR_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_HSL_HUE_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_HSL_LUMINOSITY_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_HSL_SATURATION_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_LIGHTEN_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_MULTIPLY_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_OVERLAY_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_SCREEN_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_all.GL_SOFTLIGHT_KHR_all_qualifier,Fail
KHR-GL46.blend_equation_advanced.blend_specific.GL_COLORBURN_KHR,Fail
