# EquivalentUnifiedIdeograph-15.0.0.txt
# Date: 2022-04-26, 20:42:00 GMT [KL, KW]
# © 2022 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# For documentation, see UAX #44: Unicode Character Database,
# at https://www.unicode.org/reports/tr44/
#
# This file defines the following property:
#
# Equivalent_Unified_Ideograph
#
# This data file lists CJK radicals and CJK strokes (aka characters
# that have the Radical=Yes property or are in the CJK Strokes block)
# for which there are reasonably equivalent CJK unified ideographs in
# that they are visually identical or near-identical.
#
# The file contains a list of lines with mappings from one code point
# or code point range to an equivalent CJK unified ideograph.
#
# Each mapping line contains two fields, separated by a semicolon (';').
# The first field contains a code point or code point range represented
# as a variable-length hexadecimal value with 4 to 6 digits. The second
# field contains a code point represented as a variable-length
# hexadecimal value with 4 to 6 digits.
#
# CJK radicals and CJK strokes for which no reasonably equivalent CJK
# unified ideographs exist are listed as comments at the end of the file.
#
# Formally, the default value of the Equivalent_Unified_Ideograph
# property for each code point is <none>, unless a mapping to some
# other character is specified in this data file. When a code point
# has the default value for the Equivalent_Unified_Ideograph property,
# that means that no other character exists whose representative glyph
# is a reasonably equivalent CJK unified ideograph.
#
# This file was originally created by Ken Lunde.
#
# ############################################################
#
# Property: Equivalent_Unified_Ideograph
#
# @missing: 0000..10FFFF; <none>

2E81       ; 5382  #     CJK RADICAL CLIFF
2E82       ; 4E5B  #     CJK RADICAL SECOND ONE
2E83       ; 4E5A  #     CJK RADICAL SECOND TWO
2E84       ; 4E59  #     CJK RADICAL SECOND THREE
2E85       ; 4EBB  #     CJK RADICAL PERSON
2E86       ; 5182  #     CJK RADICAL BOX
2E87       ; 20628 #     CJK RADICAL TABLE
2E88       ; 5200  #     CJK RADICAL KNIFE ONE
2E89       ; 5202  #     CJK RADICAL KNIFE TWO
2E8A       ; 535C  #     CJK RADICAL DIVINATION
2E8B       ; 353E  #     CJK RADICAL SEAL
2E8C..2E8D ; 5C0F  # [2] CJK RADICAL SMALL ONE..CJK RADICAL SMALL TWO
2E8E       ; 5140  #     CJK RADICAL LAME ONE
2E8F       ; 5C23  #     CJK RADICAL LAME TWO
2E90       ; 5C22  #     CJK RADICAL LAME THREE
2E91       ; 21BC2 #     CJK RADICAL LAME FOUR
2E92       ; 5DF3  #     CJK RADICAL SNAKE
2E93       ; 5E7A  #     CJK RADICAL THREAD
2E94       ; 5F51  #     CJK RADICAL SNOUT ONE
2E95       ; 2B739 #     CJK RADICAL SNOUT TWO
2E96       ; 5FC4  #     CJK RADICAL HEART ONE
2E97       ; 5FC3  #     CJK RADICAL HEART TWO
2E98       ; 624C  #     CJK RADICAL HAND
2E99       ; 6535  #     CJK RADICAL RAP
2E9B       ; 65E1  #     CJK RADICAL CHOKE
2E9C       ; 65E5  #     CJK RADICAL SUN
2E9D       ; 6708  #     CJK RADICAL MOON
2E9E       ; 6B7A  #     CJK RADICAL DEATH
2E9F       ; 6BCD  #     CJK RADICAL MOTHER
2EA0       ; 6C11  #     CJK RADICAL CIVILIAN
2EA1       ; 6C35  #     CJK RADICAL WATER ONE
2EA2       ; 6C3A  #     CJK RADICAL WATER TWO
2EA3       ; 706C  #     CJK RADICAL FIRE
2EA4..2EA5 ; 722B  # [2] CJK RADICAL PAW ONE..CJK RADICAL PAW TWO
2EA6       ; 4E2C  #     CJK RADICAL SIMPLIFIED HALF TREE TRUNK
2EA7       ; 725B  #     CJK RADICAL COW
2EA8       ; 72AD  #     CJK RADICAL DOG
2EA9       ; 738B  #     CJK RADICAL JADE
2EAA       ; 24D14 #     CJK RADICAL BOLT OF CLOTH
2EAB       ; 76EE  #     CJK RADICAL EYE
2EAC       ; 793A  #     CJK RADICAL SPIRIT ONE
2EAD       ; 793B  #     CJK RADICAL SPIRIT TWO
2EAE       ; 25AD7 #     CJK RADICAL BAMBOO
2EAF       ; 7CF9  #     CJK RADICAL SILK
2EB0       ; 7E9F  #     CJK RADICAL C-SIMPLIFIED SILK
2EB1       ; 7F53  #     CJK RADICAL NET ONE
2EB2       ; 7F52  #     CJK RADICAL NET TWO
2EB3       ; 34C1  #     CJK RADICAL NET THREE
2EB4       ; 5197  #     CJK RADICAL NET FOUR
2EB5       ; 2626B #     CJK RADICAL MESH
2EB6       ; 7F8A  #     CJK RADICAL SHEEP
2EB7       ; 2634C #     CJK RADICAL RAM
2EB8       ; 2634B #     CJK RADICAL EWE
2EB9       ; 8002  #     CJK RADICAL OLD
2EBA       ; 8080  #     CJK RADICAL BRUSH ONE
2EBB       ; 807F  #     CJK RADICAL BRUSH TWO
2EBC       ; 8089  #     CJK RADICAL MEAT
2EBD       ; 26951 #     CJK RADICAL MORTAR
2EBE..2EC0 ; 8279  # [3] CJK RADICAL GRASS ONE..CJK RADICAL GRASS THREE
2EC1       ; 864E  #     CJK RADICAL TIGER
2EC2       ; 8864  #     CJK RADICAL CLOTHES
2EC3       ; 8980  #     CJK RADICAL WEST ONE
2EC4       ; 897F  #     CJK RADICAL WEST TWO
2EC5       ; 89C1  #     CJK RADICAL C-SIMPLIFIED SEE
2EC6       ; 89D2  #     CJK RADICAL SIMPLIFIED HORN
2EC7       ; 278B2 #     CJK RADICAL HORN
2EC8       ; 8BA0  #     CJK RADICAL C-SIMPLIFIED SPEECH
2EC9       ; 8D1D  #     CJK RADICAL C-SIMPLIFIED SHELL
2ECA       ; 27FB7 #     CJK RADICAL FOOT
2ECB       ; 8F66  #     CJK RADICAL C-SIMPLIFIED CART
2ECC..2ECE ; 8FB6  # [3] CJK RADICAL SIMPLIFIED WALK..CJK RADICAL WALK TWO
2ECF       ; 9091  #     CJK RADICAL CITY
2ED0       ; 9485  #     CJK RADICAL C-SIMPLIFIED GOLD
2ED1       ; 9577  #     CJK RADICAL LONG ONE
2ED2       ; 9578  #     CJK RADICAL LONG TWO
2ED3       ; 957F  #     CJK RADICAL C-SIMPLIFIED LONG
2ED4       ; 95E8  #     CJK RADICAL C-SIMPLIFIED GATE
2ED5       ; 28E0F #     CJK RADICAL MOUND ONE
2ED6       ; 961D  #     CJK RADICAL MOUND TWO
2ED7       ; 96E8  #     CJK RADICAL RAIN
2ED8       ; 9752  #     CJK RADICAL BLUE
2ED9       ; 97E6  #     CJK RADICAL C-SIMPLIFIED TANNED LEATHER
2EDA       ; 9875  #     CJK RADICAL C-SIMPLIFIED LEAF
2EDB       ; 98CE  #     CJK RADICAL C-SIMPLIFIED WIND
2EDC       ; 98DE  #     CJK RADICAL C-SIMPLIFIED FLY
2EDD       ; 98DF  #     CJK RADICAL EAT ONE
2EDE       ; 2967F #     CJK RADICAL EAT TWO
2EDF       ; 98E0  #     CJK RADICAL EAT THREE
2EE0       ; 9963  #     CJK RADICAL C-SIMPLIFIED EAT
2EE1       ; 29810 #     CJK RADICAL HEAD
2EE2       ; 9A6C  #     CJK RADICAL C-SIMPLIFIED HORSE
2EE3       ; 9AA8  #     CJK RADICAL BONE
2EE4       ; 9B3C  #     CJK RADICAL GHOST
2EE5       ; 9C7C  #     CJK RADICAL C-SIMPLIFIED FISH
2EE6       ; 9E1F  #     CJK RADICAL C-SIMPLIFIED BIRD
2EE7       ; 5364  #     CJK RADICAL C-SIMPLIFIED SALT
2EE8       ; 9EA6  #     CJK RADICAL SIMPLIFIED WHEAT
2EE9       ; 9EC4  #     CJK RADICAL SIMPLIFIED YELLOW
2EEA       ; 9EFE  #     CJK RADICAL C-SIMPLIFIED FROG
2EEB       ; 6589  #     CJK RADICAL J-SIMPLIFIED EVEN
2EEC       ; 9F50  #     CJK RADICAL C-SIMPLIFIED EVEN
2EED       ; 6B6F  #     CJK RADICAL J-SIMPLIFIED TOOTH
2EEE       ; 9F7F  #     CJK RADICAL C-SIMPLIFIED TOOTH
2EEF       ; 7ADC  #     CJK RADICAL J-SIMPLIFIED DRAGON
2EF0       ; 9F99  #     CJK RADICAL C-SIMPLIFIED DRAGON
2EF1       ; 9F9C  #     CJK RADICAL TURTLE
2EF2       ; 4E80  #     CJK RADICAL J-SIMPLIFIED TURTLE
2EF3       ; 9F9F  #     CJK RADICAL C-SIMPLIFIED TURTLE
2F00       ; 4E00  #     KANGXI RADICAL ONE
2F01       ; 4E28  #     KANGXI RADICAL LINE
2F02       ; 4E36  #     KANGXI RADICAL DOT
2F03       ; 4E3F  #     KANGXI RADICAL SLASH
2F04       ; 4E59  #     KANGXI RADICAL SECOND
2F05       ; 4E85  #     KANGXI RADICAL HOOK
2F06       ; 4E8C  #     KANGXI RADICAL TWO
2F07       ; 4EA0  #     KANGXI RADICAL LID
2F08       ; 4EBA  #     KANGXI RADICAL MAN
2F09       ; 513F  #     KANGXI RADICAL LEGS
2F0A       ; 5165  #     KANGXI RADICAL ENTER
2F0B       ; 516B  #     KANGXI RADICAL EIGHT
2F0C       ; 5182  #     KANGXI RADICAL DOWN BOX
2F0D       ; 5196  #     KANGXI RADICAL COVER
2F0E       ; 51AB  #     KANGXI RADICAL ICE
2F0F       ; 51E0  #     KANGXI RADICAL TABLE
2F10       ; 51F5  #     KANGXI RADICAL OPEN BOX
2F11       ; 5200  #     KANGXI RADICAL KNIFE
2F12       ; 529B  #     KANGXI RADICAL POWER
2F13       ; 52F9  #     KANGXI RADICAL WRAP
2F14       ; 5315  #     KANGXI RADICAL SPOON
2F15       ; 531A  #     KANGXI RADICAL RIGHT OPEN BOX
2F16       ; 5338  #     KANGXI RADICAL HIDING ENCLOSURE
2F17       ; 5341  #     KANGXI RADICAL TEN
2F18       ; 535C  #     KANGXI RADICAL DIVINATION
2F19       ; 5369  #     KANGXI RADICAL SEAL
2F1A       ; 5382  #     KANGXI RADICAL CLIFF
2F1B       ; 53B6  #     KANGXI RADICAL PRIVATE
2F1C       ; 53C8  #     KANGXI RADICAL AGAIN
2F1D       ; 53E3  #     KANGXI RADICAL MOUTH
2F1E       ; 56D7  #     KANGXI RADICAL ENCLOSURE
2F1F       ; 571F  #     KANGXI RADICAL EARTH
2F20       ; 58EB  #     KANGXI RADICAL SCHOLAR
2F21       ; 5902  #     KANGXI RADICAL GO
2F22       ; 590A  #     KANGXI RADICAL GO SLOWLY
2F23       ; 5915  #     KANGXI RADICAL EVENING
2F24       ; 5927  #     KANGXI RADICAL BIG
2F25       ; 5973  #     KANGXI RADICAL WOMAN
2F26       ; 5B50  #     KANGXI RADICAL CHILD
2F27       ; 5B80  #     KANGXI RADICAL ROOF
2F28       ; 5BF8  #     KANGXI RADICAL INCH
2F29       ; 5C0F  #     KANGXI RADICAL SMALL
2F2A       ; 5C22  #     KANGXI RADICAL LAME
2F2B       ; 5C38  #     KANGXI RADICAL CORPSE
2F2C       ; 5C6E  #     KANGXI RADICAL SPROUT
2F2D       ; 5C71  #     KANGXI RADICAL MOUNTAIN
2F2E       ; 5DDB  #     KANGXI RADICAL RIVER
2F2F       ; 5DE5  #     KANGXI RADICAL WORK
2F30       ; 5DF1  #     KANGXI RADICAL ONESELF
2F31       ; 5DFE  #     KANGXI RADICAL TURBAN
2F32       ; 5E72  #     KANGXI RADICAL DRY
2F33       ; 5E7A  #     KANGXI RADICAL SHORT THREAD
2F34       ; 5E7F  #     KANGXI RADICAL DOTTED CLIFF
2F35       ; 5EF4  #     KANGXI RADICAL LONG STRIDE
2F36       ; 5EFE  #     KANGXI RADICAL TWO HANDS
2F37       ; 5F0B  #     KANGXI RADICAL SHOOT
2F38       ; 5F13  #     KANGXI RADICAL BOW
2F39       ; 5F50  #     KANGXI RADICAL SNOUT
2F3A       ; 5F61  #     KANGXI RADICAL BRISTLE
2F3B       ; 5F73  #     KANGXI RADICAL STEP
2F3C       ; 5FC3  #     KANGXI RADICAL HEART
2F3D       ; 6208  #     KANGXI RADICAL HALBERD
2F3E       ; 6236  #     KANGXI RADICAL DOOR
2F3F       ; 624B  #     KANGXI RADICAL HAND
2F40       ; 652F  #     KANGXI RADICAL BRANCH
2F41       ; 6534  #     KANGXI RADICAL RAP
2F42       ; 6587  #     KANGXI RADICAL SCRIPT
2F43       ; 6597  #     KANGXI RADICAL DIPPER
2F44       ; 65A4  #     KANGXI RADICAL AXE
2F45       ; 65B9  #     KANGXI RADICAL SQUARE
2F46       ; 65E0  #     KANGXI RADICAL NOT
2F47       ; 65E5  #     KANGXI RADICAL SUN
2F48       ; 66F0  #     KANGXI RADICAL SAY
2F49       ; 6708  #     KANGXI RADICAL MOON
2F4A       ; 6728  #     KANGXI RADICAL TREE
2F4B       ; 6B20  #     KANGXI RADICAL LACK
2F4C       ; 6B62  #     KANGXI RADICAL STOP
2F4D       ; 6B79  #     KANGXI RADICAL DEATH
2F4E       ; 6BB3  #     KANGXI RADICAL WEAPON
2F4F       ; 6BCB  #     KANGXI RADICAL DO NOT
2F50       ; 6BD4  #     KANGXI RADICAL COMPARE
2F51       ; 6BDB  #     KANGXI RADICAL FUR
2F52       ; 6C0F  #     KANGXI RADICAL CLAN
2F53       ; 6C14  #     KANGXI RADICAL STEAM
2F54       ; 6C34  #     KANGXI RADICAL WATER
2F55       ; 706B  #     KANGXI RADICAL FIRE
2F56       ; 722A  #     KANGXI RADICAL CLAW
2F57       ; 7236  #     KANGXI RADICAL FATHER
2F58       ; 723B  #     KANGXI RADICAL DOUBLE X
2F59       ; 723F  #     KANGXI RADICAL HALF TREE TRUNK
2F5A       ; 7247  #     KANGXI RADICAL SLICE
2F5B       ; 7259  #     KANGXI RADICAL FANG
2F5C       ; 725B  #     KANGXI RADICAL COW
2F5D       ; 72AC  #     KANGXI RADICAL DOG
2F5E       ; 7384  #     KANGXI RADICAL PROFOUND
2F5F       ; 7389  #     KANGXI RADICAL JADE
